Date,LBMP,Zone
1/1/2024 12:00:00 PM,27.05,LONGIL
1/1/2024 12:00:00 PM,26.39,MHK VL
1/1/2024 12:00:00 PM,26.65,MILLWD
1/1/2024 12:00:00 PM,26.62,N.Y.C.
1/1/2024 12:00:00 PM,26.41,NORTH
1/1/2024 12:00:00 PM,26.31,NPX
1/1/2024 12:00:00 PM,23.67,O H
1/1/2024 12:00:00 PM,24.94,PJM
1/1/2024 12:00:00 PM,24.49,WEST
1/1/2024 1:00:00 PM,26.47,CAPITL
1/1/2024 1:00:00 PM,25.29,CENTRL
1/1/2024 1:00:00 PM,26.73,DUNWOD
1/1/2024 1:00:00 PM,24.5,GENESE
1/1/2024 1:00:00 PM,25.83,H Q
1/1/2024 1:00:00 PM,26.6,HUD VL
1/1/2024 1:00:00 PM,27.01,LONGIL
1/1/2024 1:00:00 PM,26.32,MHK VL
1/1/2024 1:00:00 PM,26.7,MILLWD
1/1/2024 1:00:00 PM,26.83,N.Y.C.
1/1/2024 1:00:00 PM,26.4,NORTH
1/1/2024 1:00:00 PM,26.42,NPX
1/1/2024 1:00:00 PM,23.5,O H
1/1/2024 1:00:00 PM,25.37,PJM
1/1/2024 1:00:00 PM,24.24,WEST
1/1/2024 2:00:00 PM,32.65,CAPITL
1/1/2024 2:00:00 PM,31.35,CENTRL
1/1/2024 2:00:00 PM,33.12,DUNWOD
1/1/2024 2:00:00 PM,30.43,GENESE
1/1/2024 2:00:00 PM,31.91,H Q
1/1/2024 2:00:00 PM,32.93,HUD VL
1/1/2024 2:00:00 PM,33.66,LONGIL
1/1/2024 2:00:00 PM,32.58,MHK VL
1/1/2024 2:00:00 PM,33.05,MILLWD
1/1/2024 2:00:00 PM,33.19,N.Y.C.
1/1/2024 2:00:00 PM,32.64,NORTH
1/1/2024 2:00:00 PM,32.55,NPX
1/1/2024 2:00:00 PM,29.23,O H
1/1/2024 2:00:00 PM,31.41,PJM
1/1/2024 2:00:00 PM,30.19,WEST
1/1/2024 3:00:00 PM,30.81,CAPITL
1/1/2024 3:00:00 PM,29.52,CENTRL
1/1/2024 3:00:00 PM,31.19,DUNWOD
1/1/2024 3:00:00 PM,28.5,GENESE
1/1/2024 3:00:00 PM,30.03,H Q
1/1/2024 3:00:00 PM,31.01,HUD VL
1/1/2024 3:00:00 PM,31.7,LONGIL
1/1/2024 3:00:00 PM,30.72,MHK VL
1/1/2024 3:00:00 PM,31.13,MILLWD
1/1/2024 3:00:00 PM,30.96,N.Y.C.
1/1/2024 3:00:00 PM,30.72,NORTH
1/1/2024 3:00:00 PM,30.68,NPX
1/1/2024 3:00:00 PM,27.25,O H
1/1/2024 3:00:00 PM,28.8,PJM
1/1/2024 3:00:00 PM,28.2,WEST
1/1/2024 4:00:00 PM,32.96,CAPITL
1/1/2024 4:00:00 PM,31.36,CENTRL
1/1/2024 4:00:00 PM,33.27,DUNWOD
1/1/2024 4:00:00 PM,30.22,GENESE
1/1/2024 4:00:00 PM,32.03,H Q
1/1/2024 4:00:00 PM,33.12,HUD VL
1/1/2024 4:00:00 PM,34.15,LONGIL
1/1/2024 4:00:00 PM,32.83,MHK VL
1/1/2024 4:00:00 PM,33.25,MILLWD
1/1/2024 4:00:00 PM,42.4,N.Y.C.
1/1/2024 4:00:00 PM,32.79,NORTH
1/1/2024 4:00:00 PM,32.67,NPX
1/1/2024 4:00:00 PM,28.76,O H
1/1/2024 4:00:00 PM,31.27,PJM
1/1/2024 4:00:00 PM,29.78,WEST
1/1/2024 5:00:00 PM,44.42,CAPITL
1/1/2024 5:00:00 PM,42.17,CENTRL
1/1/2024 5:00:00 PM,44.68,DUNWOD
1/1/2024 5:00:00 PM,40.63,GENESE
1/1/2024 5:00:00 PM,42.93,H Q
1/1/2024 5:00:00 PM,44.55,HUD VL
1/1/2024 5:00:00 PM,45.44,LONGIL
1/1/2024 5:00:00 PM,44.16,MHK VL
1/1/2024 5:00:00 PM,44.68,MILLWD
1/1/2024 5:00:00 PM,44.47,N.Y.C.
1/1/2024 5:00:00 PM,43.83,NORTH
1/1/2024 5:00:00 PM,44,NPX
1/1/2024 5:00:00 PM,38.49,O H
1/1/2024 5:00:00 PM,41.54,PJM
1/1/2024 5:00:00 PM,39.94,WEST
1/1/2024 6:00:00 PM,43.02,CAPITL
1/1/2024 6:00:00 PM,40.67,CENTRL
1/1/2024 6:00:00 PM,43.44,DUNWOD
1/1/2024 6:00:00 PM,39.19,GENESE
1/1/2024 6:00:00 PM,41.62,H Q
1/1/2024 6:00:00 PM,43.23,HUD VL
1/1/2024 6:00:00 PM,44.43,LONGIL
1/1/2024 6:00:00 PM,42.77,MHK VL
1/1/2024 6:00:00 PM,43.39,MILLWD
1/1/2024 6:00:00 PM,59.18,N.Y.C.
1/1/2024 6:00:00 PM,42.53,NORTH
1/1/2024 6:00:00 PM,42.69,NPX
1/1/2024 6:00:00 PM,37.08,O H
1/1/2024 6:00:00 PM,40.52,PJM
1/1/2024 6:00:00 PM,38.4,WEST
1/1/2024 7:00:00 PM,50.92,CAPITL
1/1/2024 7:00:00 PM,48.32,CENTRL
1/1/2024 7:00:00 PM,51.36,DUNWOD
1/1/2024 7:00:00 PM,46.37,GENESE
1/1/2024 7:00:00 PM,49.16,H Q
1/1/2024 7:00:00 PM,51.12,HUD VL
1/1/2024 7:00:00 PM,52.43,LONGIL
1/1/2024 7:00:00 PM,50.68,MHK VL
1/1/2024 7:00:00 PM,51.31,MILLWD
1/1/2024 7:00:00 PM,50.42,N.Y.C.
1/1/2024 7:00:00 PM,50.24,NORTH
1/1/2024 7:00:00 PM,50.53,NPX
1/1/2024 7:00:00 PM,43.87,O H
1/1/2024 7:00:00 PM,46.12,PJM
1/1/2024 7:00:00 PM,45.53,WEST
1/1/2024 8:00:00 PM,45.62,CAPITL
1/1/2024 8:00:00 PM,43.18,CENTRL
1/1/2024 8:00:00 PM,46.1,DUNWOD
1/1/2024 8:00:00 PM,41.52,GENESE
1/1/2024 8:00:00 PM,44.13,H Q
1/1/2024 8:00:00 PM,45.88,HUD VL
1/1/2024 8:00:00 PM,46.93,LONGIL
1/1/2024 8:00:00 PM,45.35,MHK VL
1/1/2024 8:00:00 PM,46.01,MILLWD
1/1/2024 8:00:00 PM,63.09,N.Y.C.
1/1/2024 8:00:00 PM,45.05,NORTH
1/1/2024 8:00:00 PM,45.35,NPX
1/1/2024 8:00:00 PM,39.37,O H
1/1/2024 8:00:00 PM,42.93,PJM
1/1/2024 8:00:00 PM,40.78,WEST
1/1/2024 9:00:00 PM,33.91,CAPITL
1/1/2024 9:00:00 PM,32.15,CENTRL
1/1/2024 9:00:00 PM,34.4,DUNWOD
1/1/2024 9:00:00 PM,30.78,GENESE
1/1/2024 9:00:00 PM,32.93,H Q
1/1/2024 9:00:00 PM,34.21,HUD VL
1/1/2024 9:00:00 PM,35.09,LONGIL
1/1/2024 9:00:00 PM,33.75,MHK VL
1/1/2024 9:00:00 PM,34.34,MILLWD
1/1/2024 9:00:00 PM,35.5,N.Y.C.
1/1/2024 9:00:00 PM,33.62,NORTH
1/1/2024 9:00:00 PM,33.75,NPX
1/1/2024 9:00:00 PM,29.15,O H
1/1/2024 9:00:00 PM,32.24,PJM
1/1/2024 9:00:00 PM,30.19,WEST
1/1/2024 10:00:00 PM,33.63,CAPITL
1/1/2024 10:00:00 PM,31.98,CENTRL
1/1/2024 10:00:00 PM,34.08,DUNWOD
1/1/2024 10:00:00 PM,30.59,GENESE
1/1/2024 10:00:00 PM,32.69,H Q
1/1/2024 10:00:00 PM,33.92,HUD VL
1/1/2024 10:00:00 PM,34.51,LONGIL
1/1/2024 10:00:00 PM,33.44,MHK VL
1/1/2024 10:00:00 PM,34.05,MILLWD
1/1/2024 10:00:00 PM,50.75,N.Y.C.
1/1/2024 10:00:00 PM,33.35,NORTH
1/1/2024 10:00:00 PM,33.53,NPX
1/1/2024 10:00:00 PM,29.13,O H
1/1/2024 10:00:00 PM,31.09,PJM
1/1/2024 10:00:00 PM,30.22,WEST
1/1/2024 11:00:00 PM,28.1,CAPITL
1/1/2024 11:00:00 PM,26.61,CENTRL
1/1/2024 11:00:00 PM,28.45,DUNWOD
1/1/2024 11:00:00 PM,25.5,GENESE
1/1/2024 11:00:00 PM,27.28,H Q
1/1/2024 11:00:00 PM,28.29,HUD VL
1/1/2024 11:00:00 PM,147.41,LONGIL
1/1/2024 11:00:00 PM,27.82,MHK VL
1/1/2024 11:00:00 PM,28.39,MILLWD
1/1/2024 11:00:00 PM,28.55,N.Y.C.
1/1/2024 11:00:00 PM,27.82,NORTH
1/1/2024 11:00:00 PM,28.04,NPX
1/1/2024 11:00:00 PM,24.33,O H
1/1/2024 11:00:00 PM,26.17,PJM
1/1/2024 11:00:00 PM,25.2,WEST
1/2/2024 12:00:00 AM,32.98,CAPITL
1/2/2024 12:00:00 AM,31.76,CENTRL
1/2/2024 12:00:00 AM,33.28,DUNWOD
1/2/2024 12:00:00 AM,30.83,GENESE
1/2/2024 12:00:00 AM,31.84,H Q
1/2/2024 12:00:00 AM,33.15,HUD VL
1/2/2024 12:00:00 AM,33.97,LONGIL
1/2/2024 12:00:00 AM,32.78,MHK VL
1/2/2024 12:00:00 AM,33.25,MILLWD
1/2/2024 12:00:00 AM,33.44,N.Y.C.
1/2/2024 12:00:00 AM,32.35,NORTH
1/2/2024 12:00:00 AM,32.9,NPX
1/2/2024 12:00:00 AM,30.09,O H
1/2/2024 12:00:00 AM,31.06,PJM
1/2/2024 12:00:00 AM,31.11,WEST
1/2/2024 1:00:00 AM,31.39,CAPITL
1/2/2024 1:00:00 AM,29.91,CENTRL
1/2/2024 1:00:00 AM,31.75,DUNWOD
1/2/2024 1:00:00 AM,28.95,GENESE
1/2/2024 1:00:00 AM,30.45,H Q
1/2/2024 1:00:00 AM,31.6,HUD VL
1/2/2024 1:00:00 AM,32.48,LONGIL
1/2/2024 1:00:00 AM,31.09,MHK VL
1/2/2024 1:00:00 AM,31.72,MILLWD
1/2/2024 1:00:00 AM,31.9,N.Y.C.
1/2/2024 1:00:00 AM,31.03,NORTH
1/2/2024 1:00:00 AM,31.39,NPX
1/2/2024 1:00:00 AM,28.07,O H
1/2/2024 1:00:00 AM,30.24,PJM
1/2/2024 1:00:00 AM,28.98,WEST
1/2/2024 2:00:00 AM,29.84,CAPITL
1/2/2024 2:00:00 AM,28.36,CENTRL
1/2/2024 2:00:00 AM,30.22,DUNWOD
1/2/2024 2:00:00 AM,27.44,GENESE
1/2/2024 2:00:00 AM,28.89,H Q
1/2/2024 2:00:00 AM,30.07,HUD VL
1/2/2024 2:00:00 AM,30.88,LONGIL
1/2/2024 2:00:00 AM,29.5,MHK VL
1/2/2024 2:00:00 AM,30.19,MILLWD
1/2/2024 2:00:00 AM,30.33,N.Y.C.
1/2/2024 2:00:00 AM,29.35,NORTH
1/2/2024 2:00:00 AM,29.9,NPX
1/2/2024 2:00:00 AM,26.55,O H
1/2/2024 2:00:00 AM,28.69,PJM
1/2/2024 2:00:00 AM,27.35,WEST
1/2/2024 3:00:00 AM,29.23,CAPITL
1/2/2024 3:00:00 AM,27.8,CENTRL
1/2/2024 3:00:00 AM,29.51,DUNWOD
1/2/2024 3:00:00 AM,26.89,GENESE
1/2/2024 3:00:00 AM,28.25,H Q
1/2/2024 3:00:00 AM,29.4,HUD VL
1/2/2024 3:00:00 AM,30.18,LONGIL
1/2/2024 3:00:00 AM,28.92,MHK VL
1/2/2024 3:00:00 AM,29.48,MILLWD
1/2/2024 3:00:00 AM,29.62,N.Y.C.
1/2/2024 3:00:00 AM,28.67,NORTH
1/2/2024 3:00:00 AM,29.28,NPX
1/2/2024 3:00:00 AM,26.07,O H
1/2/2024 3:00:00 AM,28.1,PJM
1/2/2024 3:00:00 AM,26.86,WEST
1/2/2024 4:00:00 AM,28.14,CAPITL
1/2/2024 4:00:00 AM,26.73,CENTRL
1/2/2024 4:00:00 AM,28.44,DUNWOD
1/2/2024 4:00:00 AM,25.87,GENESE
1/2/2024 4:00:00 AM,27.14,H Q
1/2/2024 4:00:00 AM,28.3,HUD VL
1/2/2024 4:00:00 AM,29.03,LONGIL
1/2/2024 4:00:00 AM,27.79,MHK VL
1/2/2024 4:00:00 AM,28.41,MILLWD
1/2/2024 4:00:00 AM,28.54,N.Y.C.
1/2/2024 4:00:00 AM,27.55,NORTH
1/2/2024 4:00:00 AM,28.19,NPX
1/2/2024 4:00:00 AM,25.06,O H
1/2/2024 4:00:00 AM,27.03,PJM
1/2/2024 4:00:00 AM,25.84,WEST
1/2/2024 5:00:00 AM,31.41,CAPITL
1/2/2024 5:00:00 AM,29.84,CENTRL
1/2/2024 5:00:00 AM,31.65,DUNWOD
1/2/2024 5:00:00 AM,29,GENESE
1/2/2024 5:00:00 AM,30.29,H Q
1/2/2024 5:00:00 AM,31.53,HUD VL
1/2/2024 5:00:00 AM,32.26,LONGIL
1/2/2024 5:00:00 AM,31.05,MHK VL
1/2/2024 5:00:00 AM,31.62,MILLWD
1/2/2024 5:00:00 AM,31.77,N.Y.C.
1/2/2024 5:00:00 AM,30.72,NORTH
1/2/2024 5:00:00 AM,31.38,NPX
1/2/2024 5:00:00 AM,28.07,O H
1/2/2024 5:00:00 AM,30.11,PJM
1/2/2024 5:00:00 AM,28.91,WEST
1/2/2024 6:00:00 AM,32.07,CAPITL
1/2/2024 6:00:00 AM,30.36,CENTRL
1/2/2024 6:00:00 AM,32.51,DUNWOD
1/2/2024 6:00:00 AM,29.17,GENESE
1/2/2024 6:00:00 AM,30.82,H Q
1/2/2024 6:00:00 AM,32.32,HUD VL
1/2/2024 6:00:00 AM,33.15,LONGIL
1/2/2024 6:00:00 AM,31.74,MHK VL
1/2/2024 6:00:00 AM,32.48,MILLWD
1/2/2024 6:00:00 AM,32.63,N.Y.C.
1/2/2024 6:00:00 AM,31.22,NORTH
1/2/2024 6:00:00 AM,56.97,NPX
1/2/2024 6:00:00 AM,27.84,O H
1/2/2024 6:00:00 AM,29.67,PJM
1/2/2024 6:00:00 AM,28.74,WEST
1/2/2024 7:00:00 AM,30.9,CAPITL
1/2/2024 7:00:00 AM,29.11,CENTRL
1/2/2024 7:00:00 AM,31.47,DUNWOD
1/2/2024 7:00:00 AM,27.86,GENESE
1/2/2024 7:00:00 AM,29.58,H Q
1/2/2024 7:00:00 AM,31.26,HUD VL
1/2/2024 7:00:00 AM,31.88,LONGIL
1/2/2024 7:00:00 AM,30.59,MHK VL
1/2/2024 7:00:00 AM,31.44,MILLWD
1/2/2024 7:00:00 AM,31.61,N.Y.C.
1/2/2024 7:00:00 AM,30.1,NORTH
1/2/2024 7:00:00 AM,30.9,NPX
1/2/2024 7:00:00 AM,26.24,O H
1/2/2024 7:00:00 AM,28.48,PJM
1/2/2024 7:00:00 AM,27.21,WEST
1/2/2024 8:00:00 AM,46.8,CAPITL
1/2/2024 8:00:00 AM,44.16,CENTRL
1/2/2024 8:00:00 AM,47.57,DUNWOD
1/2/2024 8:00:00 AM,42.37,GENESE
1/2/2024 8:00:00 AM,44.69,H Q
1/2/2024 8:00:00 AM,47.25,HUD VL
1/2/2024 8:00:00 AM,48.33,LONGIL
1/2/2024 8:00:00 AM,46.13,MHK VL
1/2/2024 8:00:00 AM,47.48,MILLWD
1/2/2024 8:00:00 AM,47.7,N.Y.C.
1/2/2024 8:00:00 AM,45.54,NORTH
1/2/2024 8:00:00 AM,50.05,NPX
1/2/2024 8:00:00 AM,39.91,O H
1/2/2024 8:00:00 AM,42.63,PJM
1/2/2024 8:00:00 AM,41.47,WEST
1/2/2024 9:00:00 AM,41.65,CAPITL
1/2/2024 9:00:00 AM,39.52,CENTRL
1/2/2024 9:00:00 AM,42.37,DUNWOD
1/2/2024 9:00:00 AM,38.16,GENESE
1/2/2024 9:00:00 AM,40.32,H Q
1/2/2024 9:00:00 AM,42.09,HUD VL
1/2/2024 9:00:00 AM,42.97,LONGIL
1/2/2024 9:00:00 AM,41.37,MHK VL
1/2/2024 9:00:00 AM,42.33,MILLWD
1/2/2024 9:00:00 AM,41.98,N.Y.C.
1/2/2024 9:00:00 AM,41.04,NORTH
1/2/2024 9:00:00 AM,40.44,NPX
1/2/2024 9:00:00 AM,35.99,O H
1/2/2024 9:00:00 AM,38.09,PJM
1/2/2024 9:00:00 AM,37.23,WEST
1/2/2024 10:00:00 AM,37.27,CAPITL
1/2/2024 10:00:00 AM,35.43,CENTRL
1/2/2024 10:00:00 AM,37.94,DUNWOD
1/2/2024 10:00:00 AM,34.34,GENESE
1/2/2024 10:00:00 AM,36.28,H Q
1/2/2024 10:00:00 AM,37.59,HUD VL
1/2/2024 10:00:00 AM,38.35,LONGIL
1/2/2024 10:00:00 AM,37.15,MHK VL
1/2/2024 10:00:00 AM,37.83,MILLWD
1/2/2024 10:00:00 AM,37.77,N.Y.C.
1/2/2024 10:00:00 AM,36.94,NORTH
1/2/2024 10:00:00 AM,37.11,NPX
1/2/2024 10:00:00 AM,32.44,O H
1/2/2024 10:00:00 AM,34.24,PJM
1/2/2024 10:00:00 AM,33.48,WEST
1/2/2024 11:00:00 AM,37.78,CAPITL
1/2/2024 11:00:00 AM,36.17,CENTRL
1/2/2024 11:00:00 AM,38.32,DUNWOD
1/2/2024 11:00:00 AM,34.96,GENESE
1/2/2024 11:00:00 AM,36.83,H Q
1/2/2024 11:00:00 AM,37.96,HUD VL
1/2/2024 11:00:00 AM,38.65,LONGIL
1/2/2024 11:00:00 AM,37.78,MHK VL
1/2/2024 11:00:00 AM,38.22,MILLWD
1/2/2024 11:00:00 AM,49.39,N.Y.C.
1/2/2024 11:00:00 AM,37.48,NORTH
1/2/2024 11:00:00 AM,37.59,NPX
1/2/2024 11:00:00 AM,33.1,O H
1/2/2024 11:00:00 AM,33.21,PJM
1/2/2024 11:00:00 AM,34.34,WEST
1/2/2024 12:00:00 PM,35.27,CAPITL
1/2/2024 12:00:00 PM,33.85,CENTRL
1/2/2024 12:00:00 PM,35.9,DUNWOD
1/2/2024 12:00:00 PM,32.82,GENESE
1/2/2024 12:00:00 PM,34.33,H Q
